company_id,company_name,current_status,industry_category,country,sector,size,assessment_year,overall_score,impact_area_community,impact_area_customers,impact_area_environment,impact_area_governance,impact_area_workers,certification_cycle,year_first_certified,PC 1,PC 2,PC 3,Cluster
0013b00001nEMD9AAO,Vivobarefoot,Certified,Consumer Products & Services,United Kingdom,Wholesale/Retail,50-249,2019,98.8,24.4,13.1,17.6,18.4,25.2,1,2020,2.0843436565591924,-1.7837346867627835,0.28069535370859755,0
0013b00001nEAb2AAG,Coaltown Limited,Certified,Consumer Products & Services,United Kingdom,Manufacturing,10-49,2019,82.1,33.5,3.9,8.4,15.1,21.1,1,2019,2.1660938354164103,-2.2351672937495377,0.17335941520595063,0
0013b00001nEqqNAAS,Plant People,Certified,Consumer Products & Services,United States,Wholesale/Retail,10-49,2019,88.4,19.8,2.6,26.9,15.4,23.4,1,2021,2.5998534178498764,-0.8955928310298917,-0.07207928310315331,0
0013b00001qFbTLAA0,Vdg Salumi,Certified,Consumer Products & Services,Canada,Manufacturing,1-9,2020,118.0,41.2,11.4,21.6,15.6,28.0,1,2021,2.1310827285819474,-1.381376919555574,0.18362911553179315,0
0013b00001o4fXiAAI,Bondi Born,Certified,Consumer Products & Services,Australia,Wholesale/Retail,1-9,2019,88.1,33.4,2.9,32.4,5.2,14.0,1,2020,2.921543951561852,-1.2440172063149177,1.790455370854905,0
0013b00001o4tKqAAI,Helios Investment Partners,Certified,Financial Services,United Kingdom,Service With Minor Environmental Footprint,50-249,2019,97.9,15.7,27.0,11.9,15.0,28.1,1,2019,-1.3838133749832402,-2.6482528616555503,-0.608043979593741,1
001C000001FhC8MIAV,Calsoft Systems,Certified,Business Products & Services,United States,Service With Minor Environmental Footprint,50-249,2018,87.4,24.1,0.3,5.4,18.9,38.5,1,2016,-1.1214214785492373,-1.2437754635110743,-1.1439829877849248,1
001C000001FhC8MIAV,Calsoft Systems,Certified,Business Products & Services,United States,Service With Minor Environmental Footprint,50-249,2016,83.2,24.2,1.2,6.0,11.2,41.8,2,2016,-1.093296080703574,-0.5266449185892823,-1.4624085964945779,1
0013b00001p174jAAA,Blue Design,Certified,Consumer Products & Services,Paraguay,Manufacturing,250-999,2019,85.0,8.8,2.1,43.0,13.5,17.4,1,2021,3.7071599390210817,-2.134666841392593,0.007767049947532217,0
0013b00001ooBlhAAE,Mycotech,Certified,Business Products & Services,Indonesia,Manufacturing,10-49,2019,80.6,15.9,1.4,37.1,6.6,19.5,1,2019,2.4870931508978193,-2.573540005040996,-0.3490364401289813,0
0013b00001nEAyXAAW,Pala Eyewear,Certified,Consumer Products & Services,United Kingdom,Wholesale/Retail,Unknown,2019,84.1,48.4,3.4,13.5,18.7,0.0,1,2020,2.1733520642644084,-0.8976818744694691,3.8319445300114485,0
