company,year,award_category,industry_category,industry,country,state_province,certification_status,b_corp_profile
"Crosby Hop Farm, LLC",2019,Changemaker,Agriculture,Agricultural Services,United States,Oregon,Certified,https://bcorporation.net/directory/crosby-hop-farm-llc
Paul de Ruiter Architects,2019,Changemaker,Building,Architecture/Design/Planning,Netherlands,Noord-Holland,Certified,https://bcorporation.net/directory/paul-de-ruiter-architects
Cultivating Capital,2019,Changemaker,Business Products & Services,Management and Financial Consulting,United States,California,Certified,https://bcorporation.net/directory/cultivating-capital
Seed Consulting Services Pty Ltd,2019,Changemaker,Business Products & Services,Sustainability Consulting,Australia,South Australia,Certified,https://bcorporation.net/directory/seed-consulting-services-pty-ltd
Business Culture Consultants,2019,Changemaker,Business Products & Services,Management and Financial Consulting,United States,Vermont,Certified,https://bcorporation.net/directory/business-culture-consultants
Roundpeg Benefit LLC,2019,Changemaker,Business Products & Services,Marketing & Communications Services,United States,Maryland,Certified,https://bcorporation.net/directory/roundpeg-benefit-llc
Pegas con Sentido,2019,Changemaker,Business Products & Services,HR Consulting & Recruiting,Chile,Santiago,Certified,https://bcorporation.net/directory/pegas-con-sentido
PICnet,2019,Changemaker,Business Products & Services,IT Software & Services/Web Design,United States,District of Columbia,Certified,https://bcorporation.net/directory/picnet-inc
Beyond Green Sustainable Food Partners,2019,Changemaker,Business Products & Services,Sustainability Consulting,United States,Illinois,Certified,https://bcorporation.net/directory/beyond-green-sustainable-food-partners
Needo,2019,Changemaker,Business Products & Services,Sustainability Consulting,Chile,Santiago,Certified,https://bcorporation.net/directory/needo
Good.Must.Grow. LLC,2019,Changemaker,Business Products & Services,Marketing & Communications Services,United States,Tennessee,Certified,https://bcorporation.net/directory/goodmustgrow-llc
Conexia,2019,Changemaker,Business Products & Services,Other,Argentina,Buenos Aires,Certified,https://bcorporation.net/directory/conexia
KOGA S.A.,2019,Changemaker,Business Products & Services,Management and Financial Consulting,Paraguay,Asuncion,Certified,https://bcorporation.net/directory/koga-sa
WonderWorks Consulting,2019,Changemaker,Business Products & Services,Management and Financial Consulting,United States,California,Certified,https://bcorporation.net/directory/wonderworks-consulting
Yulu Public Relations Inc.,2019,Changemaker,Business Products & Services,Marketing & Communications Services,Canada,British Columbia,Certified,https://bcorporation.net/directory/yulu-public-relations-inc
Broota SPA,2019,Changemaker,Business Products & Services,IT Software & Services/Web Design,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/broota-spa
"WasteZero, Inc.",2019,Changemaker,Business Products & Services,Industrial Manufacturing,United States,North Carolina,Certified,https://bcorporation.net/directory/wastezero-inc
Shared Value Solutions,2019,Changemaker,Business Products & Services,Sustainability Consulting,Canada,Ontario,Certified,https://bcorporation.net/directory/shared-value-solutions
MaCher USA,2019,Changemaker,Business Products & Services,Other,United States,California,Certified,https://bcorporation.net/directory/macher-usa
Pyramid Communications,2019,Changemaker,Business Products & Services,Marketing & Communications Services,United States,Washington,Certified,https://bcorporation.net/directory/pyramid-communications
"ThinkShout, Inc",2019,Changemaker,Business Products & Services,IT Software & Services/Web Design,United States,Oregon,Certified,https://bcorporation.net/directory/thinkshout-inc
Wicked Ideas,2019,Changemaker,Business Products & Services,Marketing & Communications Services,Canada,New Brunswick,Certified,https://bcorporation.net/directory/wicked-ideas-media-inc
